"";".id";"Nombre.de.la.instalacion";"Municipio.de.la.instalacion";"Provincia.de.la.instalacion";"Clave.del.registro";"Codigo.registro.autonomico.definitivo";"Potencia.nominal.de.la.fase..kW.";"Grupo.Normativo";"Tipo.de.Inscripcion"
"1657";"NULL";"PABELLÓN DEPORTIVO MUNICIPAL";"San Agustín del Guadalix";"MADRID";"RE-108107";"RE/0087/2010";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1658";"NULL";"INSTITUTO MUNICIPAL DEL SUELO DE MÓSTOLES";"Móstoles";"MADRID";"RE-108108";"RE/0092/2009";"3,800";"b.1.1.I.1";"Inscripción definitiva"
"1659";"NULL";"CAMARMA 01";"Camarma de Esteruelas";"MADRID";"RE-108269";"RE/0161/2009";"500,000";"b.1.1.I.2";"Inscripción definitiva"
"1660";"NULL";"CIA. DE SERVICIOS DE BEBIDAS REFRESCANTES";"Madrid";"MADRID";"RE-108270";"RE/0102/2011";"20,000";"b.1.1.I.1";"Inscripción definitiva"
"1661";"NULL";"DISTRIBUIDORES AUTOMÁTICOS RENOVABLES";"Fuenlabrada";"MADRID";"RE-108271";"RE/0071/2010";"32,000";"b.1.1.I.2";"Inscripción definitiva"
"1662";"NULL";"E.M.V. ESPIRITU SANTO, 23";"Madrid";"MADRID";"RE-108428";"RED-164/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"1663";"NULL";"RONDA DEL SUR";"Cenicientos";"MADRID";"RE-108457";"RE/0005/2012";"10,000";"b.1.1.I.1";"Inscripción definitiva"
"1664";"NULL";"ESCUELA INFANTIL LUNA LUNERA";"Rivas-Vaciamadrid";"MADRID";"RE-108458";"RE/0080/2011";"15,000";"b.1.1.I.1";"Inscripción definitiva"
"1665";"NULL";"JACKETS & JEANS";"Madrid";"MADRID";"RE-108459";"RE/0014/2010";"19,800";"b.1.1.I.1";"Inscripción definitiva"
"1666";"NULL";"HIERROS";"San Lorenzo de El Escorial";"MADRID";"RE-108461";"RE/0004/2012";"60,000";"b.1.1.I.2";"Inscripción definitiva"
"1667";"NULL";"EDIFICIO POLICÍA LOCAL";"Rivas-Vaciamadrid";"MADRID";"RE-108464";"RE/0075/2011";"10,000";"b.1.1.I.1";"Inscripción definitiva"
"1668";"NULL";"PLANTA COGENERACIÓN COMPLEJO CUZCO";"Madrid";"MADRID";"RE-108466";"RE/0101/2011";"999,000";"a.1.1";"Inscripción definitiva"
"1669";"NULL";"ALMACÉN AUDITORIO MIGUEL RÍOS";"Rivas-Vaciamadrid";"MADRID";"RE-108769";"RE/0085/2011";"15,000";"b.1.1.I.1";"Inscripción definitiva"
"1670";"NULL";"PUERTO BERMEO";"Madrid";"MADRID";"RE-108770";"RE/0008/2012";"5,000";"b.1.1.I.1";"Inscripción definitiva"
"1671";"NULL";"CENTRO FORMACIÓN OCUPACIONAL";"Rivas-Vaciamadrid";"MADRID";"RE-108771";"RE/0077/2011";"15,000";"b.1.1.I.1";"Inscripción definitiva"
"1672";"NULL";"CENTRO DE RECURSOS PARA INFANCIA";"Rivas-Vaciamadrid";"MADRID";"RE-108772";"RE/0076/2011";"19,950";"b.1.1.I.1";"Inscripción definitiva"
"1673";"NULL";"CENTRO DE CAMPO DE FÚTBOL SANTA ANA";"Rivas-Vaciamadrid";"MADRID";"RE-108773";"RE/0079/2011";"15,000";"b.1.1.I.1";"Inscripción definitiva"
"1674";"NULL";"CAMPO DE FÚTBOL EL VIVERO";"Rivas-Vaciamadrid";"MADRID";"RE-108774";"RE/0078/2011";"19,950";"b.1.1.I.1";"Inscripción definitiva"
"1675";"NULL";"CENTRO DE POLIDEPORTIVO PARQUE DEL SURESTE";"Rivas-Vaciamadrid";"MADRID";"RE-108775";"RE/0082/2011";"19,950";"b.1.1.I.1";"Inscripción definitiva"
