"";".id";"Nombre.de.la.instalacion";"Municipio.de.la.instalacion";"Provincia.de.la.instalacion";"Clave.del.registro";"Codigo.registro.autonomico.definitivo";"Potencia.nominal.de.la.fase..kW.";"Grupo.Normativo";"Tipo.de.Inscripcion"
"167";"NULL";"UNIVERSIDAD DE TECNOLOGIA Y EMPRESA";"Madrid";"MADRID";"RE-002880";"RE/0240/2007";"46,350";"b.1.1";"Inscripción definitiva"
"168";"NULL";"AYTO. MOSTOLES- CENTRO SOCIOCULTURAL EL SOTO";"Móstoles";"MADRID";"RE-002881";"RED-22/02/b.1";"4,400";"b.1.1";"Inscripción definitiva"
"169";"NULL";"AYTO. MOSTOLES- CENTRO SOCIOCULTURAL JOAN MIRO";"Móstoles";"MADRID";"RE-002882";"RED-24/02/b.1";"4,400";"b.1.1";"Inscripción definitiva"
"170";"NULL";"AYTO. MOSTOLES- CENTRO SOCIOCULTURAL CALEIDOSCOPIO";"Móstoles";"MADRID";"RE-002883";"RED-23/02/b.1";"4,400";"b.1.1";"Inscripción definitiva"
"171";"NULL";"MARIA PILAR GERVAS AYMAT";"Collado Villalba";"MADRID";"RE-002885";"RED-53/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"172";"NULL";"HEREDEROS DE ELVIRA PANIZO VIGAL, C.B.";"Madrid";"MADRID";"RE-002988";"RED-27-02/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"173";"NULL";"VIDEO MERCURY FILMS, S.A.";"San Martín de Valdeiglesias";"MADRID";"RE-002989";"RED-021/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"174";"NULL";"KING HOME VIDEO, S.A.";"San Martín de Valdeiglesias";"MADRID";"RE-002990";"RED-023/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"175";"NULL";"SANTIAGO ASPERILLA MINGALLON";"Madrid";"MADRID";"RE-002991";"RED-26-02/b.1";"2,200";"b.1.1";"Inscripción definitiva"
"176";"NULL";"RINPRO, S.A.";"Madrid";"MADRID";"RE-002992";"RED-30-02/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"177";"NULL";"C.P. HERMANOS MACHADO";"Coslada";"MADRID";"RE-002993";"RED-71-02/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"178";"NULL";"C.P. MENENDEZ PIDAL";"Coslada";"MADRID";"RE-002994";"RED-72-02/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"179";"NULL";"C.P. BLAS DE OTERO";"Coslada";"MADRID";"RE-002995";"RED-77-02/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"180";"NULL";"C.P. PIO BAROJA";"Coslada";"MADRID";"RE-002996";"RED-74-02/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"181";"NULL";"C.P. ROSALIA DE CASTRO";"Coslada";"MADRID";"RE-002997";"RED-75-02/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"182";"NULL";"C.P. AGAPITO MARAZUELA";"Coslada";"MADRID";"RE-002998";"RED-76/02/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"183";"NULL";"C.P. TORRES QUEVEDO";"Coslada";"MADRID";"RE-002999";"RED-69/02/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"184";"NULL";"C.P. PABLO NERUDA";"Coslada";"MADRID";"RE-003000";"RED-73/02/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"185";"NULL";"C.P. SENECA";"Coslada";"MADRID";"RE-003001";"RED-68/02/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"186";"NULL";"C.P. SAN ESTEBAN";"Coslada";"MADRID";"RE-003002";"RED-66-02/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"187";"NULL";"C.P. SAN PABLO";"Coslada";"MADRID";"RE-003003";"RED-67-02/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"188";"NULL";"C.P. FELIX RODRIGUEZ DE LA FUENTE";"Coslada";"MADRID";"RE-003004";"RED-79/02/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"189";"NULL";"C.P. GONZALO DE BERCEO";"Coslada";"MADRID";"RE-003005";"RED-80/02/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"190";"NULL";"C.P.E.E. GUADARRAMA";"Coslada";"MADRID";"RE-003006";"RED-83/02/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"191";"NULL";"C.P. VIRGEN DEL AMOR HERMOSO";"Coslada";"MADRID";"RE-003007";"RED-84/02/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"192";"NULL";"C.P. VILLALAR";"Coslada";"MADRID";"RE-003008";"RED-70/02/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"193";"NULL";"C.P. EL OLIVO";"Coslada";"MADRID";"RE-003009";"RED-78/02/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"194";"NULL";"E.I. CHARLIE RIVEL";"Coslada";"MADRID";"RE-003010";"RED-81/02/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"195";"NULL";"E.I. DIAMELA";"Coslada";"MADRID";"RE-003011";"RED-82/02/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"196";"NULL";"POLIDEPORTIVO JOAQUIN BLUME";"Torrejón de Ardoz";"MADRID";"RE-003012";"RED-62/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"197";"NULL";"CASA CONSISTORIAL";"Torrejón de Ardoz";"MADRID";"RE-003013";"RED-61/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"198";"NULL";"UNIVERSIDAD POPULAR";"Torrejón de Ardoz";"MADRID";"RE-003014";"RED-60/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"199";"NULL";"JUAN CARLOS ESCOBAR CARRASCO";"Paracuellos de Jarama";"MADRID";"RE-003015";"RED-15/02/b.1";"1,500";"b.1.1";"Inscripción definitiva"
"200";"NULL";"E.T.S.I. DE TELECOMUNICACION";"Madrid";"MADRID";"RE-003016";"";"25,000";"b.1.1";"Inscripción previa"
"201";"NULL";"GONZALO CARRERO CABEZAS";"Rozas de Madrid (Las)";"MADRID";"RE-003090";"RED/002/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"202";"NULL";"BAVISPIN, S.L.";"Madrid";"MADRID";"RE-003091";"RED-028/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"203";"NULL";"C.F. MONTERREAL";"Humanes de Madrid";"MADRID";"RE-003092";"";"36,000";"b.1.1";"Inscripción previa"
"204";"NULL";"AYUNTAMIENTO DE LEGANES";"Leganés";"MADRID";"RE-003093";"";"400,000";"b.1.1";"Inscripción previa"
"205";"NULL";"ADG INGENIERIA AUTOMATICA, S.L.";"San Sebastián de los Reyes";"MADRID";"RE-003094";"RED/25/02/b.1";"4,980";"b.1.1";"Inscripción definitiva"
"206";"NULL";"EDITORIAL RAICES, S.A.";"Rozas de Madrid (Las)";"MADRID";"RE-003137";"RED-54/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"207";"NULL";"FRANCISCO MANUEL CEJUDO ACERO";"Villar del Olmo";"MADRID";"RE-003138";"RED-58/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"208";"NULL";"ELECTRONICA ARANJUEZ, S.A.";"Aranjuez";"MADRID";"RE-003139";"RED/29/02/b.1";"4,400";"b.1.1";"Inscripción definitiva"
"209";"NULL";"TUBLINE IBERICA, S.A.";"San Sebastián de los Reyes";"MADRID";"RE-003140";"RED/57/02/b.1.1";"34,100";"b.1.1";"Inscripción definitiva"
"210";"NULL";"JESUS GARCIA DAVILA";"Cenicientos";"MADRID";"RE-003190";"RED-51/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"211";"NULL";"FELISA  ALBURQUERQUE GIL";"Cenicientos";"MADRID";"RE-003191";"RED-39/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"212";"NULL";"ELISA IZQUIERDO RAMIREZ";"Cenicientos";"MADRID";"RE-003192";"RED-41/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"213";"NULL";"JESUS GARCIA CORTES";"Cenicientos";"MADRID";"RE-003193";"RED-44/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"214";"NULL";"ALEJANDRO GARCIA ALBURQUERQUE";"Cenicientos";"MADRID";"RE-003194";"RED-36/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"215";"NULL";"MANUEL VALVERDE SIERRA";"Alcorcón";"MADRID";"RE-003195";"";"30,000";"b.1.1";"Inscripción previa"
"216";"NULL";"PRODUCTOS NATURALES TONGIL, S.L.";"Colmenar Viejo";"MADRID";"RE-003196";"";"6,000";"b.1.1";"Inscripción previa"
"217";"NULL";"I.F. ANTONIO VELA VICO (Fase nº1)";"Madrid";"MADRID";"RE-003276";"RED-025/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"218";"NULL";"I.F. ANTONIO VELA VICO (Fase nº2)";"Madrid";"MADRID";"RE-003276";"RE/0206/2006";"26,400";"b.1.1";"Inscripción definitiva"
"219";"NULL";"I.F. JOSE ANTONIO TERREROS SERRANO";"Madrid";"MADRID";"RE-003277";"RED-026/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"220";"NULL";"I.F. JUAN PABLO MADRIDANO MATELLANO";"Madrid";"MADRID";"RE-003278";"RED-027/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"221";"NULL";"I.F.JUAN SALMERON LOPEZ";"Cenicientos";"MADRID";"RE-003279";"RED-33/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"222";"NULL";"I.F. CLODOALDO GARCIA FERNANDEZ";"Cenicientos";"MADRID";"RE-003280";"RED-32/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"223";"NULL";"I.F. ROSA Mª ALBURQUERQUE JIMENEZ";"Cenicientos";"MADRID";"RE-003281";"RED-50/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"224";"NULL";"I.F. GABRIEL RAMOS MAS";"Cenicientos";"MADRID";"RE-003282";"RED-49/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"225";"NULL";"I.F. MIGUEL ANGEL JIMENEZ JIMENEZ";"Cenicientos";"MADRID";"RE-003283";"RED-48/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"226";"NULL";"I.F. JOSE JAVIER PUNZANO PICO";"Cenicientos";"MADRID";"RE-003284";"RED-47/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"227";"NULL";"I.F. RAUL  ALBURQUERQUE JIMENEZ";"Cenicientos";"MADRID";"RE-003285";"RED-46/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"228";"NULL";"I.F. ALEJANDRO GARZA CLEMENTE";"Cenicientos";"MADRID";"RE-003286";"RED-45/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"229";"NULL";"I.F. Mª  PILAR ALBURQUERQUE JIMENEZ";"Cenicientos";"MADRID";"RE-003287";"RED-43/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"230";"NULL";"I.F. JOSE ANTONIO GARCIA FERNANDEZ";"Cenicientos";"MADRID";"RE-003288";"RED-42/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"231";"NULL";"I.F. AMANCIO ALBURQUERQUE AMPUERO";"Cenicientos";"MADRID";"RE-003289";"RED-40/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"232";"NULL";"I.F. VALERIANO GONZALEZ ALVAREZ";"Cenicientos";"MADRID";"RE-003290";"RED-34/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"233";"NULL";"I.F. ELADIO MADERO LIÑAN";"Cenicientos";"MADRID";"RE-003291";"RED-35/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"234";"NULL";"I.F. CARMELO SEN MONTERO";"Cenicientos";"MADRID";"RE-003292";"RED-37/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"235";"NULL";"I.F. ALEJANDRO GARCIA DAVILA";"Cenicientos";"MADRID";"RE-003293";"RED-38/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"236";"NULL";"I.F. JOSE LUIS AMADOR VERDE";"Cenicientos";"MADRID";"RE-003294";"RED-59/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"237";"NULL";"I.F. REMEY, S.L.";"Madrid";"MADRID";"RE-003295";"";"5,000";"b.1.1";"Inscripción previa"
"238";"NULL";"I.F. AZALEA PROYECTOS ECOLOGICOS, S.L.";"Valdemorillo";"MADRID";"RE-003296";"RED-003/02/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"239";"NULL";"I.F. AYTO. SAN FERNANDO DE HENARES";"San Fernando de Henares";"MADRID";"RE-003297";"RED-109/03/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"240";"NULL";"I.F. AYTO. SAN FERNANDO DE HENARES";"San Fernando de Henares";"MADRID";"RE-003298";"RED-110/03/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"241";"NULL";"I.F. HIC CONSULTORIA INMOBILIARIA, S.L.";"Paracuellos de Jarama";"MADRID";"RE-003299";"RED-91/02/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"242";"NULL";"I.F. GASOLINA Y SERVICIOS TORREJON, S.A.";"San Fernando de Henares";"MADRID";"RE-003300";"RED-085/02/b.1.1";"10,000";"b.1.1";"Inscripción definitiva"
"243";"NULL";"I.F. ESTACION DE SERVICIO EMILIO FERRARI";"Madrid";"MADRID";"RE-003301";"";"5,000";"b.1.1";"Inscripción previa"
"244";"NULL";"I.F. ESTACION DE SERVICIO ARANJUEZ";"Aranjuez";"MADRID";"RE-003302";"RED-093/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"245";"NULL";"I.F. ALCORCON, S.A.";"Alcorcón";"MADRID";"RE-003319";"RED- 87/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"246";"NULL";"I.F. AVITIPA, S.L. (Fase nº1)";"Mejorada del Campo";"MADRID";"RE-003320";"RE/0275/2006";"5,000";"b.1.1";"Inscripción definitiva"
"247";"NULL";"I.F. AVITIPA, S.L. (Fase nº2)";"Mejorada del Campo";"MADRID";"RE-003320";"RE/0275/2006";"5,000";"b.1.1";"Inscripción definitiva"
"248";"NULL";"I.F. EURO SNACKS DISTRIB. FRUTOS SECOS";"Valdemoro";"MADRID";"RE-003322";"";"5,000";"b.1.1";"Inscripción previa"
"249";"NULL";"I.F. GESA CARBURANTES, S.L.";"Alcorcón";"MADRID";"RE-003323";"";"5,000";"b.1.1";"Inscripción previa"
"250";"NULL";"I.F. GESA CARBURANTES, S.L.";"Madrid";"MADRID";"RE-003324";"";"5,000";"b.1.1";"Inscripción previa"
"251";"NULL";"I.F. GESA CARBURANTES, S.L.";"Alcalá de Henares";"MADRID";"RE-003325";"RED-098/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"252";"NULL";"I.F. ARINTEA, S.L.";"Rozas de Madrid (Las)";"MADRID";"RE-003326";"";"5,000";"b.1.1";"Inscripción previa"
"253";"NULL";"I.F. LUBEXPRES, S.A.";"Coslada";"MADRID";"RE-003327";"RED-097/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"254";"NULL";"I.F. HONORIO FERNANDEZ, S.L.";"Madrid";"MADRID";"RE-003328";"";"5,000";"b.1.1";"Inscripción previa"
"255";"NULL";"I.F. LORUSA, S.L.";"Madrid";"MADRID";"RE-003329";"RED-004/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"256";"NULL";"I.F. VERDEMONTE, S.A.";"Madrid";"MADRID";"RE-003330";"";"5,000";"b.1.1";"Inscripción previa"
"257";"NULL";"GASOLINERA Y SERVICIO DE LOECHES, S.L.";"Loeches";"MADRID";"RE-003432";"RED-090/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"258";"NULL";"VERDEMONTE, S.A.";"Collado Villalba";"MADRID";"RE-003433";"";"5,000";"b.1.1";"Inscripción previa"
"259";"NULL";"VERDEMONTE, S.A.";"Lozoyuela-Navas-Sieteiglesias";"MADRID";"RE-003434";"";"5,000";"b.1.1";"Inscripción previa"
"260";"NULL";"GESA CARBURANTES, S.L.";"Rivas-Vaciamadrid";"MADRID";"RE-003435";"RED-099/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"261";"NULL";"GESA CARBURANTES, S.L.";"Madrid";"MADRID";"RE-003436";"";"10,000";"b.1.1";"Inscripción previa"
"262";"NULL";"DISCO, S.L.";"Madrid";"MADRID";"RE-003437";"";"5,000";"b.1.1";"Inscripción previa"
"263";"NULL";"MAFA, S.A";"Madrid";"MADRID";"RE-003438";"RED-096/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"264";"NULL";"ALCONERA, S.A";"Madrid";"MADRID";"RE-003439";"RED-104/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"265";"NULL";"RIVASER, S.L.";"Madrid";"MADRID";"RE-003440";"RED-105/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"266";"NULL";"INTERCISTER, S.L.";"Rivas-Vaciamadrid";"MADRID";"RE-003441";"RED-100/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"267";"NULL";"SEA, S.A.";"Madrid";"MADRID";"RE-003442";"RED-106/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"268";"NULL";"ESTACION DE SERVICIO EL MOLAR, S.A.";"Molar (El)";"MADRID";"RE-003443";"";"5,000";"b.1.1";"Inscripción previa"
"269";"NULL";"SETOR, S.A.";"Madrid";"MADRID";"RE-003444";"RED-089/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"270";"NULL";"CERRO DE LA CABAÑA, S.A. (Fase nº1)";"Madrid";"MADRID";"RE-003445";"RE/0272/2006";"5,000";"b.1.1";"Inscripción definitiva"
"271";"NULL";"CERRO DE LA CABAÑA, S.A. (Fase nº2)";"Madrid";"MADRID";"RE-003445";"RE/0272/2006";"5,000";"b.1.1";"Inscripción definitiva"
"272";"NULL";"GASOLINERA LAS CUARTILLAS, S.L.";"Madrid";"MADRID";"RE-003446";"";"5,000";"b.1.1";"Inscripción previa"
"273";"NULL";"SETOR, S.A.";"San Sebastián de los Reyes";"MADRID";"RE-003447";"RED-005/03/b.1.1";"10,000";"b.1.1";"Inscripción definitiva"
"274";"NULL";"EAR, S.L.";"Arganda del Rey";"MADRID";"RE-003448";"RED-101/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"275";"NULL";"SERPARLA, S.L.";"Parla";"MADRID";"RE-003449";"RED-88/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"276";"NULL";"GASOLINERA LAS CUARTILLAS, S.L.";"Madrid";"MADRID";"RE-003450";"";"5,000";"b.1.1";"Inscripción previa"
"277";"NULL";"LOS OLIVOS ESTACION DE SERVICIO , S.A. (Fase nº1)";"Getafe";"MADRID";"RE-003451";"RE/0232/2006 (RED-052/03/b.1.1)";"5,000";"b.1.1";"Inscripción definitiva"
"278";"NULL";"LOS OLIVOS ESTACION DE SERVICIO , S.A. (Fase nº2)";"Getafe";"MADRID";"RE-003451";"RE/0232/2006 (RED-052/03/b.1.1)";"5,000";"b.1.1";"Inscripción definitiva"
"279";"NULL";"LOS OLIVOS ESTACION DE SERVICIO , S.A.";"Getafe";"MADRID";"RE-003452";"";"5,000";"b.1.1";"Inscripción previa"
"280";"NULL";"CERRO DE LA CABAÑA, S.A.";"Madrid";"MADRID";"RE-003453";"RED-091/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"281";"NULL";"E. S. ROBLEDO DE CHAVELA, S.A.";"Robledo de Chavela";"MADRID";"RE-003454";"RED-010/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"282";"NULL";"ALEJANDRO VILLANUEVA Y CIA, S.A.";"Madrid";"MADRID";"RE-003455";"";"5,000";"b.1.1";"Inscripción previa"
"283";"NULL";"E.SUMINISTRO CARBURANTES TORREJON, S.L.";"Torrejón de Ardoz";"MADRID";"RE-003456";"RED-86/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"284";"NULL";"ARRENDATARIA ALCOBENDAS, S.A.";"Alcobendas";"MADRID";"RE-003457";"";"5,000";"b.1.1";"Inscripción previa"
"285";"NULL";"I.F. E.S. BOADILLA, S.A. (DCHO)";"Boadilla del Monte";"MADRID";"RE-003627";"";"5,000";"b.1.1";"Inscripción previa"
"286";"NULL";"I.F. E.S. BOADILLA, S.A. (IZDO)";"Boadilla del Monte";"MADRID";"RE-003628";"";"5,000";"b.1.1";"Inscripción previa"
"287";"NULL";"I.F. ANA ARJONILLA GUTIERREZ";"Colmenarejo";"MADRID";"RE-003629";"";"5,000";"b.1.1";"Inscripción previa"
"288";"NULL";"I.F. NORMA L. CASTILLO PEREZ";"Collado Villalba";"MADRID";"RE-003630";"";"5,000";"b.1.1";"Inscripción previa"
"289";"NULL";"I.F. IGNACIO JOSE GONZALEZ CAGIGAS";"Hoyo de Manzanares";"MADRID";"RE-003631";"";"5,000";"b.1.1";"Inscripción previa"
"290";"NULL";"I.F. FRANCOISE DIAZ ROMERO";"Colmenarejo";"MADRID";"RE-003632";"";"5,000";"b.1.1";"Inscripción previa"
"291";"NULL";"I.F. BALDOMERO JAVEGA, S.A. (Fase nº1)";"Madrid";"MADRID";"RE-003633";"RE/0274/2006";"5,000";"b.1.1";"Inscripción definitiva"
"292";"NULL";"I.F. BALDOMERO JAVEGA, S.A. (Fase nº2)";"Madrid";"MADRID";"RE-003633";"RE/0274/2006";"5,000";"b.1.1";"Inscripción definitiva"
"293";"NULL";"I.F. SERVICIO Y LAVADOS S.SEBASTIAN DE LOS REYES";"San Sebastián de los Reyes";"MADRID";"RE-003634";"RED-053/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"294";"NULL";"I.F. LEMA, S.L.";"Madrid";"MADRID";"RE-003635";"RED9/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"295";"NULL";"I.F. E.S. GETAFE, S.L.";"Getafe";"MADRID";"RE-003636";"RED-89/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"296";"NULL";"I.F. E.S. GETAFE, S.L.";"Getafe";"MADRID";"RE-003637";"RED-90/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"297";"NULL";"I.F. E.S. CIUDAD DE LOS PERIODISTAS, S.A.";"Madrid";"MADRID";"RE-003638";"";"5,000";"b.1.1";"Inscripción previa"
"298";"NULL";"I.F. RUEDA PLUS, S.L.";"Robledo de Chavela";"MADRID";"RE-003639";"";"5,000";"b.1.1";"Inscripción previa"
"299";"NULL";"I.F.HEREDEROS DE GABRIEL CARRASCO";"Leganés";"MADRID";"RE-003640";"RED-029/03/b.1.1";"17,000";"b.1.1";"Inscripción definitiva"
"300";"NULL";"I.F.EUTIQUIO PEÑA RICA";"Madrid";"MADRID";"RE-003641";"RED-042/03/b.1.1";"3,200";"b.1.1";"Inscripción definitiva"
"301";"NULL";"SANTOS MUÑOZ GARCIA";"Torrelodones";"MADRID";"RE-003642";"RE/0239/2006 (RED-059/03/b.1.1)";"4,000";"b.1.1";"Inscripción definitiva"
"302";"NULL";"I.F.RAFAEL PEREIRA PACHECO";"Rozas de Madrid (Las)";"MADRID";"RE-003643";"RED-006/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"303";"NULL";"I.F.JUAN RAMON EYRAS DAGUERRE";"Soto del Real";"MADRID";"RE-003644";"RED-007/03/b.1.1";"4,000";"b.1.1";"Inscripción definitiva"
"304";"NULL";"I.F.TASACIONES INMOBILIARIAS S.A. (TINSA)";"Rozas de Madrid (Las)";"MADRID";"RE-003645";"RED-075/03/b.1.1";"4,500";"b.1.1";"Inscripción definitiva"
"305";"NULL";"I.F.AYTO CABANILLAS DE LA SIERRA (Fase nº1)";"Cabanillas de la Sierra";"MADRID";"RE-003646";"RED-005/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"306";"NULL";"I.F.AYTO CABANILLAS DE LA SIERRA (Fase nº2)";"Cabanillas de la Sierra";"MADRID";"RE-003646";"RE/0443/2006";"2,500";"b.1.1";"Inscripción definitiva"
"307";"NULL";"I.F.CENTRO  INTERPRETACION. AYTO SEVILLA LA NUEVA";"Sevilla la Nueva";"MADRID";"RE-003648";"RED-066/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"308";"NULL";"I.F.CASA DE NIÑOS. AYTO SEVILLA LA NUEVA";"Sevilla la Nueva";"MADRID";"RE-003649";"RED-113/03/b.1.1";"24,000";"b.1.1";"Inscripción definitiva"
"309";"NULL";"I.E.S. MARGARITA SALAS AYTO. ARGANDA DEL REY";"Arganda del Rey";"MADRID";"RE-003650";"RED/070/03/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"310";"NULL";"I.F. TERIBE INTERNACIONAL, S.L.";"Paracuellos de Jarama";"MADRID";"RE-003651";"RED-008/03/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"311";"NULL";"I.F. BRAINTOOLS";"Boadilla del Monte";"MADRID";"RE-003652";"RE/0243/2006";"4,000";"b.1.1";"Inscripción definitiva"
"312";"NULL";"I.F. MERCEDES BAYON  ALONSO";"Pinto";"MADRID";"RE-003653";"";"5,000";"b.1.1";"Inscripción previa"
"313";"NULL";"I.F. LUIS MIGUEL RODRIGAÑEZ NOREÑA";"Pinto";"MADRID";"RE-003654";"";"5,000";"b.1.1";"Inscripción previa"
"314";"NULL";"I.F. IVAN RODRIGAÑEZ BAYON";"Pinto";"MADRID";"RE-003655";"";"5,000";"b.1.1";"Inscripción previa"
"315";"NULL";"I.F.REMIGIO YUSTE BLAZQUEZ";"San Martín de Valdeiglesias";"MADRID";"RE-003657";"RED-045/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"316";"NULL";"I.F.CARLOS ROMERO FERNANDEZ";"Soto del Real";"MADRID";"RE-003658";"RED-014/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"317";"NULL";"ALEJANDRO GARCIA  DAVILA";"Cenicientos";"MADRID";"RE-003659";"";"10,000";"b.2.1";"Inscripción previa"
"318";"NULL";"VERTEDERO ALCALA DE HENARES";"Alcalá de Henares";"MADRID";"RE-003660";"RED-067/03/b.7";"2300,000";"b.7.1";"Inscripción definitiva"
"319";"NULL";"I.F.CAMILO JENE";"Collado Mediano";"MADRID";"RE-003661";"RED-009/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"320";"NULL";"I.F.RAFAEL LOZANO GUILLEN";"Pozuelo de Alarcón";"MADRID";"RE-003662";"RE/0219/2006";"3,200";"b.1.1";"Inscripción definitiva"
"321";"NULL";"I.F.HOLGER ERNST";"Hoyo de Manzanares";"MADRID";"RE-003663";"RED-35/03/b.1.1";"1,660";"b.1.1";"Inscripción definitiva"
"322";"NULL";"I.F.JOSE MANUEL MORENO SERRANO";"Getafe";"MADRID";"RE-003664";"";"0,850";"b.1.1";"Inscripción previa"
"323";"NULL";"I.F.SALCEA, S.A.";"Lozoyuela-Navas-Sieteiglesias";"MADRID";"RE-003665";"";"5,000";"b.1.1";"Inscripción previa"
"324";"NULL";"I.F. Mª LUISA SANCHEZ CASADO";"Rozas de Madrid (Las)";"MADRID";"RE-003666";"";"1,100";"b.1.1";"Inscripción previa"
"325";"NULL";"I.F. RAFAEL LOPEZ-CASERO QUIROS";"Algete";"MADRID";"RE-003692";"RED8/03/b.1.1";"2,400";"b.1.1";"Inscripción definitiva"
